Codigo,Unidade
2154757,HOSPITAL SANTA RITA
2155540,POSTO DE SAUDE DE AMPARO DO SITIO
2155591,UBS DE PONTO CHIQUE
2156458,PRONTO ATENDIMENTO DEUSDETH FERREIRA CORINTO
2157063,HOSPITAL WANDA ANDRADE DRUMMOND
2157330,CENTRO DE SAUDE DEOCLECIANO MACHADO AUGUSTO DE LIMA
2158639,UPA 24 HORAS MATOZINHOS
2159155,HOSPITAL MUNICIPAL DE FELIXLANDIA
2159252,HOSPITAL SAO JOAO DE DEUS
2159376,HOSPITAL E MATERNIDADE SANTA MONICA
2159384,HOSPITAL SAO JUDAS TADEU
2160137,UPA ANTONIO JOSE DOS SANTOS
2160498,HOSPITAL MUNICIPAL SAO FRANCISCO
2161354,SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI
2161702,CASA DE CARIDADE SAO VICENTE DE PAULO
2161729,HOSPITAL JORGE CAETANO DE MATTOS
2162377,CASA DE SAUDE SANTA LUCIA LTDA
2163071,HOSPITAL SAO JOSE
2163292,MARIANA UNIDADE DE PRONTO ATENDIMENTO DR ELIAS SALIM MANSUR
2163489,OURO PRETO UPA DOM ORIONE 24 HORAS
2163675,RIO ACIMA UNIDADE MISTA DE SAUDE DE RIO ACIMA
2163829,OURO PRETO SANTA CASA DE OURO PRETO
2164116,UNIDADE DE SAUDE PALMITAL
2164167,PRONTO ATENDIMENTO 24 HS SEDE
2164175,UNIDADE DE PRONTO ATENDIMENTO DE SAO BENEDITO
2164280,HOSPITAL MUNICIPAL MADALENA P CALIXTO
2164299,HOSPITAL DE SAO JOAO DE DEUS
2164493,SANTA CASA DE MISERICORDIA DE CONQUISTA
2164612,HOSPITAL REGIONAL DOM BOSCO
2164620,SANTA SANTA CASA DE MISERICORDIA
2164639,CENTRO MUNICIPAL DE SAUDE ALONSO FERREIRA DOS SANTOS
2164736,HOSPITAL E MATERNIDADE SAO DOMINGOS
2164795,HOSPITAL DA CRIANCA
2164817,UPA UNIDADE DE PRONTO ATENDIMENTO SAO BENEDITO
2164825,HOSPITAL BENEFICENCIA PORTUGUESA
2165058,HOSPITAL DOUTOR HELIO ANGOTTI
2165481,CASA DE SAUDE SAO JOSE
2165600,SECRETARIA MUNICIPAL DE SAUDE DE ARAXA
2165848,AMBULATORIO VICENTE SEVERINO SOCORRO
2165996,UNIDADE MISTA DE SAUDE GERALDO SALGE
2166305,SANTA CASA DE PERDIZES
2166364,UNIDADE BASICA DE SAUDE DR ALEXANDRE ALVES ESF
2166518,AMBULATORIO MUNICIPAL ARI DE ANDRADE
2167379,ASSOCIACAO DO HOSPITAL SAO FRANCISCO
2167522,CENTRO DE SAUDE DE CARVALHOPOLIS
2167565,HOSPITAL MUNICIPAL JOAO AMELIO FREIRE
2167573,HOSPITAL E MATERNIDADE FREI FRANCISCO STIENEN
2167670,HOSPITAL E MATERNIDADE SAO PEDRO
2167727,HOSPITAL DE GIMIRIM
2168014,ESF SANTA CLARA
2168200,HOSPITAL SAO JOSE PASSABEM
2168243,HOSPITAL MUNICIPAL WALDEMAR DAS DORES
2168421,SANTA CASA DE MISERICORDIA DE AREADO
2168448,HOSPITAL NOSSA SENHORA APARECIDA
2168553,HOSPITAL SAO SEBASTIAO DE RAUL SOARES
2168650,UPA UNIDADE DE PRONTO ATENDIMENTO DE FORMIGA
2168693,SANTA CASA DE ARCOS
2168707,HOSP SANTA CASA DE BOM DESPACHO
2168731,HOSPITAL NOSSA SENHORA DO CARMO
2170086,PRONTO ATENDIMENTO SAO GONCALO DO RIO ABAIXO
2170256,CENTRO DE SAUDE DE MORRO DO PILAR
2171694,AMBULATORIO SANTA CASA
2171945,SANTA CASA DE ALFENAS
2171988,HOSPITAL UNIVERSITARIO ALZIRA VELANO
2172259,HOSPITAL BOM JESUS
2172682,CENTRO DE SAUDE JOSE RODRIGUES BARBOSA
2172836,HOSPITAL MUNICIPAL SANTA RITA
2172844,IRMANDADE SANTA CASA DE MISERICORDIA DE DIVISA NOVA
2172852,SANTA CASA MISERICORDIA DE ALTEROSA
2172860,HOSPITAL MONSENHOR GENESIO
2172941,DIRETORIA DE SAUDE DE SAO TOMAS DE AQUINO
2173166,HOSPITAL CESAR LEITE
2173565,HOSPITAL NOSSA SENHORA DAS MERCES
2178559,HOSPITAL SANTO ANTONIO
2178648,HOSPITAL CASA DE CARIDADE SAO SEBASTIAO
2178672,PRO SAUDE METODOS GRAFICOS CORONEL FABRICIANO
2178850,APROMIA
2178982,HOSPITAL LOURENCO WESTIN
2178990,HOSPITAL SAO VICENTE DE PAULO DE POTE
2179172,HOSPITAL MUNICIPAL SAO JOAO BATISTA
2179237,HOSPITAL MUNICIPAL DONA AMELIA MARIA DE SOUZA
2179571,HOSPITAL MUNICIPAL SANTO ANTONIO
2179628,ASILO DE CARIDADE SANTA CASA DE BOM SUCESSO
2180731,HOSPITAL MUNICIPAL DE SANTA JULIANA
2180766,HOSPITAL CASA DO CAMINHO
2180839,UNIDADE MISTA DE SAUDE
2181029,SANTA CASA DE IBIA
2181053,CENTRO DE SAUDE DE TAPIRA
2181401,PRONTO ATENDIMENTO MUNICIPAL DE CAMPO FLORIDO
2181509,UNIDADE DE ATENDIMENTO IMEDIATO
2181770,HOSPITAL EDUARDO DE MENEZES
2181797,UNIDADE DE PRONTO ATENDIMENTO JOANICO CIRILO DE ABREU
2182548,BELO VALE POLICLINICA DONA MARIA DO CARMO FERNANDES
2182610,BELO VALE HOSPITAL E MATERNIDADE HENRIQUE PENIDO SA
2183455,CENTRO DE ESPECIALIDADES MULTIPROFISSIONAIS DR GE CEM
2183803,HOSPITAL SAO VICENTE DE PAULO DE AGUAS FORMOSAS
2183811,HOSPITAL SAO BENTO DE NOVO CRUZEIRO
2184176,POLICLINICA MICRORREGIONAL DE BICAS
2184680,HOSPITAL MUN DONA MARIA CONCEICAO FANTINI VALERIO
2184834,HOSPITAL BOM SAMARITANO
2185563,HOSPITAL NOSSA SENHORA DOS ANJOS
2186276,SANTA CASA MUNICIPAL DE SAUDE DE PIMENTA
2189852,UNIDADE PRONTO ATENDIMENTO GERALDO PINTO VIEIRA UPA JK
2189860,UNIDADE DE PRONTO ATENDIMENTO VARGEM DAS FLORES UPA
2189879,UNIDADE DE PRONTO ATENDIMENTO RESSACA UPA
2190125,UNIDADE DE PRONTO ATENDIMENTO PETROLANDIA UPA
2191164,CMI JUVENTINA PAULA DE JESUS COMPLEXO HOSPITALAR
2192012,HOSPITAL SANTA LUCIA DE DIVINOPOLIS
2192020,SANTA CASA DE CAMPO BELO
2192128,SANTA CASA DE SANTO ANTONIO DO AMPARO
2192896,HOSPITAL METROPOLITANO ODILON BEHRENS HOB
2193310,HOSPITAL MUNICIPAL ELIANE MARTINS
2193426,POLICLINICA SIMAN JOSE
2193469,CENTRO DE SAUDE DE IPABA
2194007,CENTRO DE SAUDE DE MATIAS CARDOSO
2194937,HOSPITAL MUNICIPAL DR DARCY JUAREZ ZABISKY
2195224,HOSPITAL MUNICIPAL DE PIRAPETINGA
2195429,CASA DE SAUDE PADRE DAMIAO
2195437,HOSPITAL SANTA ISABEL
2195453,HOSPITAL DO CANCER DE MURIAE
2195585,CLINICAS INTEGRADAS HOSPITAL UNIVERSITARIO MARIO PALMERIO
2196972,HOSPITAL SAO LUCAS
2197014,HOSPITAL NOSSA SENHORA DE FATIMA
2197022,HOSPITAL IMACULADA CONCEICAO
2197693,SANTA CASA DE MISERICORDIA DE COROMANDELDR SEBASTIAO MACHADO
2198797,RAPOSOS UMS DR FRANCISCO DOS SANTOS CABRAL
2199971,SUPERINTENDENCIA DE VIGILANCIA EM SAUDE
2200422,HOSPITAL MADRE TERESA
2200457,ASSOCIACAO MARIO PENNA
2200473,HOSPITAL MUNICIPAL DE CONTAGEM COMPLEXO HOSPITALAR
2200481,HOSPITAL DE CONSELHEIRO PENA
2200902,HOSPITAL SAO JOSE
2200945,MARIANA HOSPITAL MONSENHOR HORTA
2201046,UBS ITAGYBA EIRAS BRASIL SENADOR AMARAL
2201402,HOSPITAL MUNICIPAL DE PEDRINOPOLIS
2201410,CASA DE SAUDE DR NELSON JACINTO BORGES
2201488,UNIDADE MISTA DE SAUDE DR CAMILA ARAUJO FARIA
2201542,HOSPITAL MUNICIPAL DELFINA ALVES BARBOSA
2202638,HOSPITAL NOSSA SENHORA DA CONCEICAO
2202883,HOSPITAL E MATERNIDADE DR AURELIANO BRANDAO
2202891,CASA CARIDADE SANTA TEREZA
2203065,CENTRO DE SAUDE DE OLHOS DAGUA
2203391,CENTRO DE SAUDE DE NINHEIRA
2203782,UAPS ROSALINO GOMES DE OLIVEIRA
2204622,HOSPITAL MUNICIPAL DE JANUARIA
2204649,HOSPITAL MUNICIPAL DR OSWALDO PREDILIANO SANTANA
2204754,POSTO DE ASSISTENCIA MEDICA PAM CURVELO
2204762,PRONTO ATENDIMENTO MUNICIPAL DR MARCIO CARVALHO LOPES
2204932,PAM
2205009,SANTA CASA MIS CARIDADE DE CAMPESTRE
2205327,PRONTO ATENDIMENTO MUNICIPAL DE GUARANESIA
2205386,AMBULATORIO PSICOSSOCIAL
2205440,HOSPITAL MARCIO CUNHA
2205866,HOSPITAL AFRANIO AUGUSTO FIGUEIREDO
2205882,HOSPITAL MUNICIPAL PREFEITO FRANCISCO GAMELEIRA
2205890,SANTA CASA E HOSPITAL NOSSA SENHORA DA GUIA
2205904,HOSPITAL MUNICIPAL SAO VICENTE DE PAULO
2205939,FUNDAJAN
2205971,SANTA CASA E HOSPITAL SAO VICENTE
2205998,FHAHC
2206064,HOSPITAL NOSSA SENHORA DA CONCEICAO
2206382,HOSPITAL ARNALDO GAVAZZA FILHO
2206420,UPA MONTE CARMELO
2206498,HOSPITAL E MATERNIDADE VIRGILIO ROSA LTDA
2206501,HOSPITAL SANTA TEREZINHA
2206528,HOSPITAL NOSSA SENHORA DAS GRACAS
2206544,HOSPITAL UNIMED
2206552,SANTA CASA DE UNIAO
2206595,HOSPITAL DE CLINICAS DA UFTM
2207664,HOSPITAL RAIMUNDO CAMPOS
2208040,CASA DE SAUDE E MATERNIDADE NOSSA SENHORA APARECIDA ITURAMA
2208075,HOSPITAL MUNICIPAL DR CARLOS MARX
2208083,HOSPITAL NOSSA SENHORA MAE DA IGREJA DE PADRE PARAISO
2208156,HPS DR MOZART GERALDO TEIXEIRA
2208172,HOSPITAL SANTA ROSALIA
2208822,HOSPITAL ANTONIO MOREIRA DA COSTA STA RITA SAPUCAI
2208830,PRONTO ATENDIMENTO MUNICIPAL SANTA RITA DE CALDAS
2208849,HOSPITAL MUN FERRAZ E TORRES MARIA DA FE
2208857,AISI HOSPITAL DE CLINICAS DE ITAJUBA
2208873,PRONTO ATENDIMENTO HOSPITAL MUNICIPAL DONA MARGARITA MORALES
2208903,HOSPITAL POCOS DE CALDAS
2209187,PRONTO SOCORRO MUNICIPAL TEREZINHA MOREIRA MARRA
2209195,HOSPITAL SANTA CASA DE PATROCINIO
2209446,CENTRO DE SAUDE DE CATUJI
2209632,CENTRO DE SAUDE DE BERTOPOLIS
2210924,HOSPITAL PHILADELFIA
2211254,HOSPITAL MUNICIPAL DR RAIMUNDO GOBIRA
2211262,HOSPITAL E PRONTO SOCORRO MUNICIPAL RENATO AZEREDO
2211912,POLICLINICA MUNICIPAL DE PARAISOPOLIS
2212110,UBS DE SAPUCAI MIRIM
2212137,UBS JOAQUIM MENDES JUNHO NATERCIA
2212145,PRONTO SOCMUNDRAMERICO PPENNACCHI JACUTINGA
2212269,PRONTO SOCORRO MUNICIPAL PREFEITO JAHIR APARECIDO OLIVOTTI
2212552,PRONTO ATENDIMENTO MUNICIPAL DE ANDRADAS
2212609,PRONTO ATENDIMENTO
2212854,POLICLINICA DE CAMBUI
2212862,UBS DE CACHOEIRA DE MINAS
2213168,UBS APIO CARDOSO ITAPEVA
2213206,UBS DE HELIODORA
2213389,UNIDADE BASICA DE SAUDE DE PIRANGUCU
2213400,UBS DE TOCOS DO MOJI
2213516,ASSOCIACAO HOSPITALAR DE JECEABA
2213524,UBS DE TURVOLANDIA
2213621,CENTRO DE SAUDE DE CARANDAI
2214199,SECRETARIA MUNICIPAL DE SAUDE DE SAO SEBASTIAO DA BELA VISTA
2215020,PRONTO ATENDIMENTO RUBENS ZUCATO
2215039,UBS NOSSA SENHORA APARECIDA
2215268,UNIDADE MISTA JERONIMO TEODORO
2215500,UNIDADE BASICA DE SAUDE PREFEITO JOSE ROSANGELO DE OLIVEIRA
2215586,HOSPITAL NOSSA SENHORA DAS DORES
2218283,PSF AREAO
2218690,FSFX O S S HOSPITAL MUNICIPAL CARLOS CHAGAS
2218798,HOSPITAL UNIVERSITARIO DA UFJF
2218941,POLICLINICA DR CARLOS JOSE DO ESPIRITO SANTO ALTO SAO JOAO
2219336,UNIDADE DE SAUDE DA FAMILIA INDEPENDENCIA III
2219638,HOSPITAL AROLDO TOURINHO
2219646,HOSPITAL DILSON GODINHO
2219654,HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA
2219662,PRONTOCOR
2219948,DEPARTAMENTO DE VIGILANCIA EM SAUDE
2220423,HOSPITAL SANTA HELENA
2221543,HOSPITAL SAO LUCAS
2221616,DEPARTAMENTO DA UNIDADE REGIONAL LESTE
2221756,HOSPITAL ANA NERY DE JUIZ DE FORA
2221772,HSVP JUIZ DE FORA
2221985,SANTA CASA DE MISERICORDIA DE PERDOES
2222043,HOSPITAL MUNICIPAL
2223279,SECRETARIA MUNICIPAL DE SAUDE DE CAXIAS DO SUL
2223538,HOSPITAL GERAL
2223546,HOSPITAL POMPEIA
2223562,HOSPITAL VIRVI RAMOS
2223570,HOSPITAL DO CIRCULO
2223597,HOSPITAL SAUDE
2223619,UNIDADE SANITARIA DE CAPIVARI DO SUL
2223732,ESF III CENTRO COMUNITARIO DR VALMOR DE SOUZA MACHADO
2223775,CENTRO DE ESPECIALIDADES
2223937,UNIDADE SANITARIA DE TAVARES
2224127,POSTO DE SAUDE SUELI SANTOS DE SOUZA
2224178,POSTO MEDICO CENTRAL
2224356,PRONTO ATENDIMENTO 24 HORAS DE XANGRILA
2224461,UNIDADE SANITARIA DE TORRES
2224615,HOSPITAL SAO LUIZ
2224674,POSTO DE SAUDE
2224917,CENTRO DE SAUDE DE HARMONIA
2224968,CENTRO MUNICIPAL DE SAUDE TRES COROAS
2225077,AMBULATORIO MUNICIPAL DE CHARQUEADAS
2225328,PRONTO ATENDIMENTO GUAIBA
2225484,UNIDADE BASICA DE SAUDE SALVADOR DO SUL
2226030,UBS CENTRAL
2226766,VIGILANCIA SANITARIA DE IGREJINHA
2227118,POLICLINICA TIMBAUVA 24 HORAS
2227568,POSTO DE SAUDE CAMBARA DO SUL
2227665,HOSPITAL BOM PASTOR
2227673,HOSPITAL DE CARIDADE SANTA RITA
2227681,HOSPITAL SAO SALVADOR
2227703,HOSPITAL NOSSA SENHORA DO ROSARIO DE RIOZINHO
2227762,HOSPITAL SAO FRANCISCO DE ASSIS
2227770,HOSPITAL SAO FRANCISCO DE PAULA
2227789,POLICLINICA ROBERTO CARLOS CHROSTOWSKI
2227835,PRONTO ATENDIMENTO MUNICIPAL 24 HORAS
2227886,HOSPITAL DE CARIDADE SAO JERONIMO
2227908,HOSPITAL SAGRADA FAMILIA
2227924,HOSPITAL DE CHARQUEADAS
2227932,HOSPITAL BOM JESUS
2227959,HOSPITAL UNIMED VALE DO CAI
2227991,POSTO DE SAUDE ERVAL SECO
2228092,POSTO SAUDE CENTRO TENENTE PORTELA
2228165,POSTO DE SAUDE VISTA GAUCHA
2228246,POSTO UNIDADE SANITARIA T PASSOS
2228394,POSTO DE SAUDE DE ALPESTRE ESF IV
2228432,UNIDADE BASICA DE SAUDE CENTRAL
2228548,HOSPITAL SAO ROQUE DE CAICARA
2228556,HOSPITAL MEDIANEIRA PLANALTO
2228580,HOSPITAL SANTA TEREZINHA PALMITINHO
2228602,HOSPITAL DIVINA PROVIDENCIA FREDWEST
2228610,HOSPITAL PIO XII SEBERI
2228629,HOSPITAL SAO GABRIEL AMETISTA DO SUL
2228653,HOSPITAL N S AUXILIADORA IRAI
2228661,UNIDADE DE PRONTO ATENDIMENTO SAO ROQUE TAQUARUCU DO SUL
2228688,HOSPITAL COMUNITARIO NONOAI
2228726,HOSPITAL CARIDADE TRES PASSOS
2228734,HOSPITAL SAO JOSE RODEIO BONITO
2228882,SECRETARIA MUNICIPAL DE SAUDE DE ALVORADA
2229269,UNIDADE DE SAUDE NOVA HARTZ
2229978,PRONTO ATENDIMENTO MUNICIPAL 24 HORAS GRAVATAI
2230550,UBS CENTRAL SAPIRANGA
2231638,VIGILANCIA EM SAUDE GRAVATAI
2231735,UNIDADE MUNICIPAL DE SAUDE MORRO REUTER
2231751,AMBULATORIO H DOZE DE MAIO SM DO HERVAL
2232014,HOSPITAL NOSSA SENHORA DAS GRACAS
2232022,HOSPITAL CENTENARIO
2232030,FUNDACAO DE SAUDE PUBLICA SAO CAMILO DE ESTEIO
2232049,HOSPITAL DOM JOAO BECKER
2232057,HOSPITAL REGINA NOVO HAMBURGO
2232073,HOSPITAL DE CAMPO BOM DR LAURO REUS
2232081,HOSPITAL ALVORADA
2232103,HOSPITAL PADRE JEREMIAS
2232146,FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH
2232154,HOSPITAL SAPIRANGA
2232162,FUNDACAO HOSPITALAR DE SAPUCAIA DO SUL
2232170,HOSPITAL DE PORTAO
2232189,HOSPITAL SAO JOSE IVOTI
2232928,HOSPITAL DE CARIDADE DE CANGUCU
2232995,SANTA CASA DO RIO GRANDE
2233207,DEPARTAMENTO DE VIGILANCIA EM SAUDE
2233312,SANTA CASA DE MISERIC S LOURENCO DO SUL
2233320,HOSPITAL PINHEIRO MACHADO
2233339,SANTA CASA DE MISERICORDIA DE PEDRO OSORIO
2233371,HOSPITAL DA RESERVA
2233398,IRMANDADE S CASA DE MISERICORDIA DE S V PALMAR
2233401,SANTA CASA DE CARIDADE JAGUARAO
2234300,POSTO CENTRAL DOM PEDRITO
2234335,UNIDADE DE SAUDE SEDE
2234386,HOSPITAL AGUDO
2234408,HOSPITAL DR HOMERO MENEZES
2234416,HOSPITAL DE CARIDADE DR VICTOR LANG
2234424,HOSPITAL SANTA ROSA DE LIMA
2234432,HOSPITAL SANTA BARBARA
2234467,UNIDADE MISTA HOSPITAL PARAISO
2234475,HOSPITAL SAO JOAO EVANGELISTA
2234483,CAIS CHAPADA
2234653,POSTO DE SAUDE NOVO BARREIRO
2235307,HOSPITAL SAO JOSE CHAPADA
2235315,HOSPITAL SANTA RITA D JABOTICABA
2235323,HOSPITAL DE CARIDADE PALMEIRA DAS MISSOES
2235366,SOCIEDADE CULTURAL E BENEFICENTE SANTA ROSA DE LIMA
2235382,ASSOC HOSP SANTO ANTONIO DE PADUA
2235404,HOSPITAL COMUNITARIO SARANDI
2235412,HOSPITAL DOS TRABALHADORES ATRA
2235420,ASSOCIACAO HOSPITALAR DE RONDA ALTA
2235447,HOSPITAL PADRE EUGENIO
2235609,HOSPITAL DE CANELA
2235684,POSTO DE SAUDE
2235870,UNIDADE DE SAUDE CENTRAL
2235919,PAM DE CANDELARIA
2236303,CADI CENTRO DE ATENDIMENTO DE DOENCAS INFECCIOSAS
2236338,HOSPITAL VALE DO SOL
2236346,HOSPITAL SINIMBU
2236354,HOSPITAL VERA CRUZ
2236362,HOSPITAL CANDELARIA
2236370,HOSPITAL SAO SEBASTIAO MARTIR
2236435,POSTO DE SAUDE DE ANTONIO PRADO
2237040,UNIDADE DE SAUDE DA FAMILIA VI BEM VIVER
2237148,PRONTO ATENDIMENTO CRUZEIRO DO SUL
2237156,HBMPA
2237253,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE
2237261,HOSPITAL BENEFICENCIA PORTUGUESA
2237571,HOSPITAL NOSSA SENHORA DA CONCEICAO SA
2237598,HOSPITAL DIVINA PROVIDENCIA
2237601,HOSPITAL DE CLINICAS
2237822,HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS
2237849,INSTITUTO DE CARDIOLOGIA
2238098,UNIDADE DE VIGILANCIA EM SAUDE
2238128,CENTRO MUNICIPAL DE SAUDE
2238292,POSTO DE SAUDE DE NOVA PRATA
2238357,UNIDADE BASICA DE SAUDE CENTRO
2238403,UNIDADE BASICA DE SAUDE
2238632,CENTRO DE SAUDE DE VERANOPOLIS
2238810,HOSPITAL SAO JACOB
2240289,CENTRO DE SAUDE MUNICIPAL IRMA BENEDITA ZORZI
2240335,HOSPITAL SAO CARLOS
2240629,SECRETARIA MUNICIPAL DE SAUDE IPE
2241013,HOSPITAL DE CARIDADE SAO ROQUE
2241021,HOSPITAL TACCHINI
2241048,HOSPITAL NOSSA SENHORA DA OLIVEIRA
2241072,HOSPITAL SAO JOSE
2241102,HOSPITAL NOVA PETROPOLIS
2241129,HOSPITAL SAO PEDRO CANISIO
2241137,HOSPITAL SAO ROQUE
2241145,HOSPITAL FATIMA
2241153,HOSPITAL ARCANJO SAO MIGUEL
2241161,HOSPITAL SAO JOAO BATISTA
2241218,HOSPITAL BENEFICENTE NOSSA SENHORA APARECIDA
2241226,HOSPITAL BENEFICENTE SAO JOAO BOSCO
2241404,UNIDADE BASICA DE SAUDE DR RONI CARLOS CASTELAN
2241471,AMBULATORIO MEDICO DE ITAARA ESF
2241641,POSTO DE SAUDE ESF FAXINAL DO SOTURNO
2242362,AMBULATORIO MEDICO VALDY JOSE LOVATO
2242850,SECRETARIA MUNICIPAL DE SAUDE DE SAO FRANCISCO DE ASSIS
2242923,CENTRO MUNICIPAL DE SAUDE EACS
2243474,PRONTO ATENDIMENTO MEDICO MUNICIPAL FLAVIO MIGUEL SCHNEIDER
2244098,HOSPITAL BERNARDINA SALLES DE BARROS
2244101,HOSPITAL DE CARIDADE SAO ROQUE
2244128,HOSPITAL NOSSA SENHORA DA PIEDADE
2244136,HOSPITAL DE SAO VICENTE DO SUL
2244144,HOSPITAL DA BRIGADA MILITAR SANTA MARIA
2244152,IRDESI DE JAGUARI
2244187,HOSPITAL DE MATA
2244195,PRONTO ATENDIMENTO MADRE IMILDA
2244209,CASA DE SAUDE SAO JOSE
2244225,HOSPITAL DE CARIDADE BRASILINA TERRA
2244233,HOSPITAL DE CARIDADE SAO FRANCISCO
2244268,HGUSM
2244276,HOSPITAL DE CARIDADE ASTROGILDO DE AZEVEDO
2244292,HOSPITAL SAO FRANCISCO DE ASSIS
2244306,HOSPITAL UNIVERSITARIO SANTA MARIA
2244314,HOSPITAL MUNICIPAL DE SAO PEDRO DO SUL
2244322,HOSPITAL SANTO ANTONIO
2244330,HOSPITAL SANTO ANTONIO
2244349,HOSPITAL DE GUARNICAO
2244357,HOSPITAL DE CARIDADE DE SANTIAGO
2244675,CENTRO MUNICIPAL DE SAUDE SILVIO CERATO CAMARGO
2244756,POSTO DE SAUDE MAXIMILIANO DE ALMEIDA
2244764,UBS DR ROMEU LUIZ WEBBER
2244993,ESF DR GERARDO BARBOSA ESPUMOSO
2245051,CENTRO DE SAUDE AGUA SANTA
2245280,POSTO DE SAUDE SERTAO
2245450,SECRETARIA DE SAUDE US SOLEDADE
2245604,CENTRO DE SAUDE DE TUNAS TUNAS
2245639,UNIDADE BASICA VANESSA SABRINA SCHNEIDER
2245663,HOSPITAL SAO VICENTE DE PAULO
2245760,UBS ANTONIO SEGANFREDO
2246740,HOSPITAL SANTO ANTONIO
2246767,HOSPITAL SAO JOAO SANANDUVA
2246783,HOSPITAL ROQUE GONZALES TAPERA
2246791,HOSPITAL SAO JOSE
2246805,HOSPITAL SAO JOSE SERTAO
2246813,HOSPITAL NOTRE DAME SAO SEBASTIAO
2246848,PADU DE LAGOAO
2246872,HOSPITAL SANTA LUCIA CASCA
2246899,HOSPITAL MUNICIPAL VILA MARIA
2246910,HOSPITAL ALTO JACUI NAO ME TOQUE
2246929,HOSPITAL DE CLINICAS
2246937,HOSPITAL SAO JOSE DAVID CANABARRO
2246953,HOSPITAL CRISTO REDENTOR MARAU
2246961,HOSPITAL FREI CLEMENTE SOLEDADE
2246988,HOSPITAL SAO VICENTE DE PAULO
2246996,HOSPITAL MUNICIPAL PASSO FUNDO
2247011,FHOESFA MACHADINHO
2247038,HOSPITAL SAO JOSE MAXIMILIANO DE ALMEIDA
2247046,HOSPITAL SANTA TEREZINHA PAIM FILHO
2247151,POLICLINICA MUNICIPAL
2247186,UNIDADE MUNICIPAL DE SAUDE DE QUARAI
2247283,SECRETARIA MUNICIPAL DE SAUDE DE URUGUAIANA
2247747,POSTO DE ATENDIMENTO MEDICO
2248190,SANTA CASA DE URUGUAIANA
2248204,SANTA CASA DE SAO GABRIEL
2248212,CASA DE SAUDE
2248220,SANTA CASA DE MISERICORDIA
2248239,HOSPITAL AUXILIADORA
2248247,FUNDACAO HOSPITALAR DE CARIDADE DE QUARAI
2248271,HOSPITAL SAO PATRICIO DE ITAQUI
2248298,HOSPITAL IVAN GOULART
2248328,SANTA CASA DE ALEGRETE
2248476,UBS CHARRUA
2248549,UNIDADE BASICA DE SAUDE DE JACUTINGA
2248751,CENTRO MUNICIPAL DE SAUDE DE ERVAL GRANDE
2249340,UNIDADE BASICA DR EGIDIO ZAMBONATTO
2249472,HOSPITAL DE CARIDADE DE ERECHIM
2249499,HOSPITAL SAO ROQUE
2249502,ACHA ARATIBA
2249510,HOSPITAL SAO ROQUE DE GETULIO VARGAS
2249537,HOSPITAL N S DA POMPEIA VIADUTOS
2249545,HOSPITAL SANTA ISABEL
2249618,ASSOCIACAO HOSPITALAR MARCELINENSE
2249626,HOSPITAL SANTO ANTONIO LIMITADA
2249707,POSTO DE SAUDE DA SEDE PSF ALEGRIA
2249839,UNIDADE BASICA DE SAUDE ALECRIM
2250004,POSTO DE SAUDE PSF DR MAURICIO CARDOSO
2250144,UNIDADE BASICA DE SAUDE SEDE
2250225,POSTO DE SAUDE SEDE E PACS CAMPINA DAS MISSOES
2250373,UNIDADE CENTRAL DE SAUDE
2250608,UNIDADE DE SAUDE DA FAMILIA DA SEDE
2250659,POSTO DE SAUDE UNIDADE DO PSF CANDIDO GODOI
2250705,HOSPITAL DE CARIDADE BOA VISTA
2250713,HOSPITAL DE CARIDADE SAO PAULO SAO PAULO DAS MISSOES
2250810,HOSPITAL SAO JOSE PORTO LUCENA RS
2250837,HOSPITAL SAO VICENTE DE PAULO
2250845,UNIDADE DE SAUDE DA FAMILIA DE MUCUM
2250969,UNIDADE SANITARIA DE BARROS CASSAL
2251043,POSTO DE SAUDE ITAPUCA
2251078,UNIDADE SANITARIA DE PROGRESSO
2251116,UNIDADE SANITARIA DE NOVA BRESCIA
2251124,UNIDADE SANITARIA DE FONTOURA XAVIER
2251213,UNIDADE SANITARIA DE ARVOREZINHA
2252007,HOSPITAL MARQUES DE SOUZA
2252023,HOSPITAL DE CARIDADE SANTANA BOM RETIRO DO SUL
2252058,HOSP DR ANUAR ELIAS AESSE BOQUEIRAO DO LEAO
2252066,HOSPITAL SAO JOSE SERIO
2252074,HOSPITAL SAO GABRIEL ARCANJO
2252139,HOSPITAL BENEFICENTE LEONILDA BRUNET
2252147,SOCIEDADE BENEFICENTE ROQUE GONZALES
2252155,HOSPITAL BENEFICENTE PADRE CATELLI
2252171,HOSPITAL DOUTOR OSCAR BENEVOLO
2252198,HOSPITAL SAO JOSE ARROIO DO MEIO
2252228,HOSPITAL SANTA TERESINHA ENCANTADO
2252244,HOSPITAL OURO BRANCO
2252260,HOSPITAL ESTRELA
2252287,HOSPITAL BRUNO BORN
2252295,SOCIEDADE PORTUGUESA DE BENEFICENCIA
2252341,CONSULTORIO MIGUEL PILTCHER
2252694,HOSPITAL ESCOLA DA UFPEL
